dataset,target,split,task,features,head,n_request,n_train,seed,n_test,auc,ap,degenerate,spearman,pearson,r2,rmse
SAbDab_Chen,developability,random,classification,random,mlp,50,50,11,603,0.5185521758513083,0.2182737234730385,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,100,100,11,603,0.5035664071876822,0.21971840756788757,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,200,200,11,603,0.5018689345358527,0.23339336752895212,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,500,500,11,603,0.5326120503412092,0.22358592884807738,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,1000,1000,11,603,0.5063269435204554,0.20341630586551254,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,all,1806,11,603,0.4907410582627482,0.19863328422044674,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,25,25,12,603,0.538698947224032,0.2392222986574161,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,50,50,12,603,0.5147971605912006,0.21710473204910286,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,100,100,12,603,0.5186721991701245,0.20941390607762622,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,200,200,12,603,0.5098419121429306,0.21803816323942116,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,500,500,12,603,0.48081341517780596,0.21931383179206576,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,1000,1000,12,603,0.5012688179417716,0.19890414226618228,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,all,1806,12,603,0.5044751551730051,0.20795314108976098,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,25,25,13,603,0.4834024896265561,0.18672820610564356,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,50,50,13,603,0.5040465004629471,0.21531205796844644,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,100,100,13,603,0.4968965398991804,0.20121759811843276,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,200,200,13,603,0.4976338260004801,0.1973529386184355,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,500,500,13,603,0.5108363910702652,0.20061928855433675,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,1000,1000,13,603,0.45139055587942806,0.19120428149445937,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,all,1806,13,603,0.47160591200576113,0.18121865500174567,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,25,25,14,603,0.4987826206234355,0.21474551700781871,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,50,50,14,603,0.499622783855149,0.21951191207651932,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,100,100,14,603,0.5109735605774837,0.20968351498476365,False,,,,
