dataset,target,split,features,head,n_request,mean,std,count,n_train,sem
SAbDab_Chen,developability,random,biophys,linear,100,0.6806466684955934,0.041847957425693645,20,100.0,0.009357487752336809
SAbDab_Chen,developability,random,biophys,linear,1000,0.781708874867117,0.02613255422198566,20,1000.0,0.005843416766605907
SAbDab_Chen,developability,random,biophys,linear,200,0.7248092486540243,0.021835800568055713,20,200.0,0.0048826334413301095
SAbDab_Chen,developability,random,biophys,linear,25,0.6322309763039676,0.07553628899006018,20,25.0,0.016890427694984347
SAbDab_Chen,developability,random,biophys,linear,50,0.6601098213367169,0.05184160239657089,20,50.0,0.011592134702124852
SAbDab_Chen,developability,random,biophys,linear,500,0.7652433901443709,0.02837193143687757,20,500.0,0.006344156734582152
SAbDab_Chen,developability,random,biophys,linear,all,0.7913896128390658,0.023244366974917427,20,1806.0,0.005197598464986651
SAbDab_Chen,developability,random,biophys,mlp,100,0.6989733719694112,0.03307082143004219,20,100.0,0.007394860478933114
SAbDab_Chen,developability,random,biophys,mlp,1000,0.8142772024279002,0.018990251672199136,20,1000.0,0.004246349364886632
SAbDab_Chen,developability,random,biophys,mlp,200,0.7365732485168548,0.02708674424040705,20,200.0,0.006056780141070107
SAbDab_Chen,developability,random,biophys,mlp,25,0.621494033126436,0.06665835181309061,20,25.0,0.014905260592216696
SAbDab_Chen,developability,random,biophys,mlp,50,0.663957426014197,0.050839046776134524,20,50.0,0.011367956450272831
SAbDab_Chen,developability,random,biophys,mlp,500,0.7822018277836837,0.020476948071613335,20,500.0,0.004578784785986065
SAbDab_Chen,developability,random,biophys,mlp,all,0.853379942388807,0.016118322449820883,20,1806.0,0.0036041664681060437
SAbDab_Chen,developability,random,cheap,gbm,100,0.6926528582696067,0.027970029245834225,20,100.0,0.00625428867263425
SAbDab_Chen,developability,random,cheap,gbm,1000,0.861937605020404,0.016237292300191462,20,1000.0,0.003630768935376203
SAbDab_Chen,developability,random,cheap,gbm,200,0.7589455951441995,0.018850244709407892,20,200.0,0.004215042856274181
SAbDab_Chen,developability,random,cheap,gbm,25,0.603158327903707,0.07506112440910961,20,25.0,0.016784177664633783
SAbDab_Chen,developability,random,cheap,gbm,50,0.6406909056616714,0.0601772843809302,20,50.0,0.013456049857709627
SAbDab_Chen,developability,random,cheap,gbm,500,0.8227971434450122,0.02373057745992116,20,500.0,0.0053063184345708
